id_fors,ra,dec,orig_par_obj,v1.0_par_obj,z_fors,z_fors_err,z_wisp,z_wisp_err,v1.0_redshift,v1.0_redshift_err,flag
309_1_2,324.796295,-38.39867,309_78,-99,-99.0,-99.0,0.87427,0.004,-99.0,-99.0,0.0
309_1_3,324.791656,-38.400009,309_70,-99,1.14608,0.0001227,1.12955,0.00798,-99.0,-99.0,1.0
309_1_4,324.796661,-38.40276,309_2049,-99,-99.0,-99.0,0.43774,0.00116,-99.0,-99.0,2.0
309_1_5,324.791901,-38.40506,309_16,-99,0.674973,0.0001563,0.66822,0.00146,-99.0,-99.0,0.0
309_1_6,324.787109,-38.407669,309_177,309_163,1.144,0.0001464,1.13974,0.00105,1.1451,0.0029,2.0
309_1_7,324.807861,-38.41227,309_2003,-99,0.418397,0.0001161,0.4163,0.0005,-99.0,-99.0,0.0
309_1_8,324.804596,-38.414127,309_213,-99,1.0828,0.0001559,1.08178,0.00048,-99.0,-99.0,0.0
309_1_9,324.818878,-38.41848,309_64,-99,1.00416,0.0001411,1.00645,0.00273,-99.0,-99.0,0.0
309_1_10,324.800079,-38.417969,309_56,309_56,1.1467,0.0001452,1.14898,0.00102,1.1552,0.0025455844122715,0.0
309_1_11,324.806,-38.420925,309_39,309_39,1.10343,0.0001461,1.10703,0.00035,1.1118,0.0008485281374238,0.0
309_1_12,324.787689,-38.420532,309_182,309_190,-99.0,-99.0,0.46679,0.00055,1.3073,0.0019,2.0
309_1_13,324.804443,-38.426811,309_96,-99,1.03297,9.3e-05,0.34588,0.00065,-99.0,-99.0,0.0
309_1_14,324.793671,-38.427509,309_11,309_11,0.444443,0.0001051,0.4484,0.00098,0.4463,0.0007,0.0
309_1_15,324.810699,-38.431347,309_69,309_66,-99.0,-99.0,1.30984,0.00177,1.3118,0.0016970562748477,0.0
309_1_16,324.797699,-38.433235,309_40,309_40,0.812339,0.0001292,0.81089,0.00026,0.8156,0.0004242640687119,0.0
309_1_17,324.800323,-38.435749,309_116,-99,-99.0,-99.0,0.81561,0.00222,-99.0,-99.0,0.0
309_1_18,324.796814,-38.437038,309_330,-99,-99.0,-99.0,0.99258,0.00072,-99.0,-99.0,2.0
309_2_1,324.821655,-38.423347,309_123,-99,-99.0,-99.0,1.54539,0.00287,-99.0,-99.0,0.0
309_2_3,324.810425,-38.428787,309_1035,-99,-99.0,-99.0,1.58588,0.00134,-99.0,-99.0,2.0
309_2_4,324.815277,-38.415436,309_102,-99,-99.0,-99.0,1.73076,0.00111,-99.0,-99.0,0.0
309_2_5,324.807892,-38.424446,309_84,309_82,-99.0,-99.0,1.87458,0.00219,1.8749,0.0025455844122715,0.0
309_2_6,324.798615,-38.434273,309_296,-99,-99.0,-99.0,0.60138,0.00162,-99.0,-99.0,2.0
309_2_7,324.793884,-38.437054,309_136,309_129,-99.0,-99.0,1.67252,0.00167,1.0361,0.0043840620433565,1.0
309_2_8,324.803192,-38.413239,309_2057,-99,-99.0,-99.0,1.19116,0.00127,-99.0,-99.0,2.0
309_2_9,324.798676,-38.416111,309_2042,-99,-99.0,-99.0,0.41834,0.00192,-99.0,-99.0,2.0
309_2_11,324.794006,-38.416855,309_23,309_24,0.463605,0.0001022,0.46443,0.00123,0.4666,0.001414213562373,0.0
309_2_13,324.797455,-38.402336,309_113,-99,1.22755,6.98e-05,1.2254,0.00068,-99.0,-99.0,1.0
309_2_14,324.783539,-38.423065,309_115,309_111,-99.0,-99.0,1.83405,0.00332,1.1612,0.0039597979746446,2.0
309_2_17,324.773926,-38.425514,309_179,-99,-99.0,-99.0,1.60022,0.00486,-99.0,-99.0,1.0
309_2_18,324.773132,-38.419743,309_47,-99,1.06289,0.000147,1.0474,0.00405,-99.0,-99.0,1.0
309_2_20,324.76767,-38.416943,309_118,-99,-99.0,-99.0,0.51876,0.00233,-99.0,-99.0,1.0
-99,324.784363,-38.410721,309_8,309_7,-99.0,-99.0,0.53665,0.00267,0.536,0.0009899494936611,2.0
-99,324.795441,-38.409401,309_20,-99,-99.0,-99.0,0.67563,0.00082,-99.0,-99.0,1.0
-99,324.808411,-38.429173,309_30,-99,-99.0,-99.0,0.33472,0.00158,-99.0,-99.0,0.0
-99,324.79541,-38.433521,309_43,-99,-99.0,-99.0,0.59819,0.00108,-99.0,-99.0,0.0
-99,324.795837,-38.402107,309_44,-99,-99.0,-99.0,0.95622,0.00087,-99.0,-99.0,0.0
-99,324.806061,-38.420425,309_46,-99,-99.0,-99.0,1.12144,0.00269,-99.0,-99.0,2.0
-99,324.789368,-38.421467,309_57,-99,-99.0,-99.0,1.86458,0.00201,-99.0,-99.0,0.0
-99,324.804352,-38.426491,309_129,-99,-99.0,-99.0,0.54291,0.0019,-99.0,-99.0,2.0
-99,324.790192,-38.433468,309_157,309_157,-99.0,-99.0,1.55127,0.0022,1.55735,0.0021213203435596,0.0
-99,324.801208,-38.400761,309_185,-99,-99.0,-99.0,1.6201,0.00161,-99.0,-99.0,0.0
-99,324.811981,-38.42231,309_210,-99,-99.0,-99.0,2.30361,0.0026,-99.0,-99.0,1.0
-99,324.786133,-38.40937,309_307,-99,-99.0,-99.0,0.77171,0.00243,-99.0,-99.0,2.0
-99,324.799622,-38.414211,309_322,309_363,-99.0,-99.0,1.87657,0.00147,1.1972,0.0015,2.0
-99,324.808838,-38.419418,309_1014,-99,-99.0,-99.0,1.13713,0.00264,-99.0,-99.0,2.0
-99,324.80426,-38.428768,309_1037,-99,-99.0,-99.0,1.28886,0.00132,-99.0,-99.0,2.0
236_1_2,231.191513,0.428666,236_49,-99,0.929109,0.0001325,0.92304,0.00385,-99.0,-99.0,2.0
236_1_3,231.194687,0.427741,236_239,-99,-99.0,-99.0,1.16418,0.00105,-99.0,-99.0,1.0
236_1_4,231.193039,0.418988,236_61,-99,0.516407,7.86e-05,0.5167,0.00162,-99.0,-99.0,2.0
236_1_5,231.196732,0.4219,236_18,-99,-99.0,-99.0,0.47893,0.0018,-99.0,-99.0,2.0
236_1_6,231.204025,0.432063,236_79,-99,1.21682,-9.3e-06,1.21041,0.00221,-99.0,-99.0,2.0
236_1_7,231.202774,0.421722,236_192,-99,-99.0,-99.0,0.89917,0.00143,-99.0,-99.0,2.0
