id_fors,redshift,O_II_Flux_corr,O_II_Flux_err_corr,Hb_Flux_corr,Hb_Flux_err_corr,O_III_Flux_corr,O_III_Flux_err_corr,Ha_Flux_[NII]_corr,Ha_Flux_err_[NII]_corr,S_II_Flux_corr,S_II_Flux_err_corr,O_II_Flux_corr_rc,O_II_Flux_err_corr_rc,Hb_Flux_corr_rc_bc,Hb_Flux_err_corr_rc_bc,O_III_Flux_corr_rc,O_III_Flux_err_corr_rc,Ha_Flux_[NII]_corr_rc_bc,Ha_Flux_err_[NII]_corr_rc_bc,S_II_Flux_corr_rc,S_II_Flux_err_corr_rc,Ha_lum_[NII]_corr,Ha_lum_err_[NII]_corr
309_1_2,0.8742700000000001,-99.0,-99.0,-2.7185e-17,1.4092000000000002e-17,1.8767e-16,5.3897e-17,1.7600000000000002e-17,3.96502e-18,3.187e-17,5.617e-18,-99.0,-99.0,-3.58009e-16,1.85582e-16,6.46044e-16,1.85538e-16,1.1359999999999999e-16,2.55925e-17,7.775520000000001e-17,1.37041e-17,6.60717e+40,1.4884977950795454e+40
309_1_3,1.14608,2.135e-17,2.135e-17,-9.867000000000003e-18,9.454e-18,6.911e-17,2.369e-17,6.347e-17,1.00528e-17,-99.0,-99.0,1.08047e-16,1.23887e-17,-6.75357e-17,6.470890000000001e-17,2.37907e-16,8.15515e-17,2.5517599999999997e-16,4.04167e-17,-99.0,-99.0,4.65248e+41,7.36890671876477e+40
309_1_4,0.4377399999999999,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6.297e-17,1.4712e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.57277e-16,3.67454e-17,-99.0,-99.0,4.40749e+40,1.0297442096236301e+40
309_1_5,0.6749729999999999,1.1826e-16,1.1826e-16,3.357e-17,4.732e-18,4.085e-17,5.294e-18,5.8551e-16,4.8902e-17,3.8435e-16,8.620200000000001e-17,5.98484e-16,1.0331e-16,1.81572e-16,2.55942e-17,1.40624e-16,1.8224300000000002e-17,1.98536e-15,1.65818e-16,9.37722e-16,2.10312e-16,1.16456e+42,9.726445854041774e+40
309_1_6,1.144,3.344e-17,3.344e-17,5.805e-18,9.757e-18,6.38e-17,1.381e-17,-79.5475,-79.5475,-99.0,-99.0,1.6923099999999996e-16,1.96964e-17,1.15892e-17,1.9479000000000002e-17,2.19628e-16,4.754020000000001e-17,5.16317e-17,1.44018e-17,-99.0,-99.0,-5.8048300000000015e+59,-5.8048300000000015e+59
309_1_7,0.418397,1.07602e-15,1.07602e-15,2.2015e-16,3.7355e-17,6.5344e-16,5.631899999999999e-17,9.2345e-16,4.93245e-17,1.0227e-16,4.0333e-17,5.445470000000001e-15,9.283489999999998e-16,7.73164e-16,1.3119000000000002e-16,2.24943e-15,1.93875e-16,2.29115e-15,1.22378e-16,2.49514e-16,9.84029e-17,5.80627e+41,3.1013196666305704e+40
309_1_8,1.0828,2.285e-17,2.285e-17,4.573e-17,1.4057999999999997e-17,2.3833e-16,2.0192000000000002e-17,9.16e-17,6.2960100000000015e-18,-99.0,-99.0,1.15638e-16,1.73331e-17,1.75675e-16,5.40048e-17,8.20438e-16,6.95099e-17,2.42502e-16,1.6668099999999998e-17,-99.0,-99.0,5.83401e+41,4.0099328930240185e+40
309_1_9,1.00416,5.993000000000001e-17,5.993000000000001e-17,1.5047e-17,1.427e-17,1.0777e-16,2.0337e-17,1.1553e-16,7.79253e-18,2.57e-17,6.722e-18,3.0329099999999996e-16,3.03088e-17,7.22359e-17,6.85058e-17,3.7099199999999997e-16,7.0009e-17,3.59364e-16,2.42392e-17,6.27019e-17,1.64001e-17,6.1061300000000004e+41,4.1186013337574656e+40
309_1_10,1.1467,7.976e-17,7.976e-17,3.568000000000001e-18,1.3554000000000002e-17,2.375e-17,7.657e-18,1.4859e-16,1.24172e-17,5.113e-17,1.1129e-17,4.03645e-16,3.65234e-17,1.8151800000000002e-17,6.89546e-17,8.17581e-17,2.63588e-17,4.820059999999999e-16,4.02797e-17,1.24745e-16,2.7152100000000002e-17,1.09065e+42,9.114219785988292e+40
309_1_11,1.10343,5.343e-17,5.343e-17,4.8245e-17,1.4082e-17,4.2738e-17,1.4473e-17,2.3934e-16,9.58501e-18,2.767e-17,8.761000000000001e-18,2.70396e-16,2.3907e-17,2.3295900000000003e-16,6.799720000000001e-17,1.47123e-16,4.98225e-17,7.476180000000002e-16,2.99404e-17,6.750819999999999e-17,2.13748e-17,1.5972399999999998e+42,6.396574485000417e+40
309_1_12,0.46679,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.614e-17,8.61721e-18,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.3694700000000003e-16,2.37035e-17,-99.0,-99.0,7.026610000000002e+40,7.029228460424891e+39
309_1_13,1.0329700000000002,4.312000000000001e-17,4.312000000000001e-17,-1.989e-18,1.4912e-17,9.479e-17,2.7359e-17,1.0753999999999999e-16,1.7321e-17,1.1601999999999999e-16,1.849e-17,2.1822e-16,2.24799e-17,-9.45794e-18,7.090840000000001e-17,3.26309e-16,9.41819e-17,3.3221e-16,5.35076e-17,2.8306100000000003e-16,4.51112e-17,6.0956800000000015e+41,9.818046613353174e+40
309_1_14,0.444443,1.7665e-16,1.7665e-16,4.754e-17,4.133e-18,4.825e-17,5.152e-18,2.2578999999999997e-16,2.7509e-17,1.1203000000000002e-16,2.966e-17,8.939810000000002e-16,1.5616e-16,1.13112e-15,9.83369e-17,1.66098e-16,1.77355e-17,2.2356200000000002e-15,2.72376e-16,2.73327e-16,7.236329999999999e-17,1.6385400000000001e+41,1.9963061632490374e+40
309_1_15,1.30984,6.774e-17,6.774e-17,3.243e-17,1.5606000000000002e-17,1.2854e-16,2.8437e-17,6.171e-17,1.25908e-17,3.412e-17,1.3502999999999998e-17,3.42815e-16,1.1832499999999998e-16,1.8886900000000003e-16,9.08879e-17,4.4249199999999995e-16,9.78928e-17,2.2074700000000003e-16,4.5039300000000003e-17,8.324469999999999e-17,3.29441e-17,6.2951100000000014e+41,1.284402381915411e+41
309_1_16,0.812339,4.247e-16,4.247e-16,1.4616e-16,3.2809e-17,9.160700000000001e-16,3.913e-17,5.593e-16,1.74006e-17,5.182e-17,1.1578e-17,2.1493e-15,3.7256699999999996e-16,6.10683e-16,1.37082e-16,3.15352e-15,1.34703e-16,1.5734500000000004e-15,4.8952200000000004e-17,1.2642799999999998e-16,2.82476e-17,1.7523099999999998e+42,5.451679847309136e+40
309_1_17,0.8156100000000001,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.901999999999999e-17,1.96762e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.80621e-16,5.576210000000001e-17,-99.0,-99.0,3.13268e+41,6.224928117148052e+40
309_1_18,0.99258,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5.041e-17,6.27514e-18,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.29093e-16,1.60697e-17,-99.0,-99.0,2.58901e+41,3.2228526505455267e+40
62_1_3,1.07779,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.5897e-16,4.681270000000001e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0046900000000002e-15,2.95858e-16,-99.0,-99.0,1.0009300000000001e+42,2.9474891999119342e+41
62_1_4,1.43262,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.1771e-16,2.37364e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0983200000000003e-16,6.24781e-17,-99.0,-99.0,1.4985100000000002e+42,3.021768138985643e+41
62_1_5,0.855001,3.1540000000000003e-17,3.1540000000000003e-17,-99.0,-99.0,-99.0,-99.0,4.2286e-16,8.47568e-17,-99.0,-99.0,1.59616e-16,1.2925200000000001e-17,-99.0,-99.0,-99.0,-99.0,1.47096e-15,2.94835e-16,-99.0,-99.0,1.5025799999999998e+42,3.0117266363335382e+41
62_1_6,0.5605760000000001,1.5030000000000002e-16,1.5030000000000002e-16,2.811e-17,9.340000000000002e-19,9.776e-17,2.9110000000000005e-18,1.2992e-16,1.42265e-17,4.0820000000000003e-17,1.3098e-17,7.60631e-16,2.65942e-17,2.05691e-16,6.8344000000000004e-18,3.3653400000000004e-16,1.0021000000000001e-17,5.48188e-16,6.00275e-17,9.95911e-17,3.1956e-17,1.6454700000000001e+41,1.801822579664409e+40
62_1_7,0.82657,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.0903e-16,1.07829e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5.25491e-16,2.7107800000000006e-17,-99.0,-99.0,6.8339600000000015e+41,3.5253268566234522e+40
62_1_8,0.35917,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.3974e-16,4.290390000000001e-17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.73238e-16,1.14594e-16,-99.0,-99.0,6.13342e+40,1.8831232169600694e+40
62_1_9,0.850916,1.1206000000000002e-16,1.1206000000000002e-16,-99.0,-99.0,-99.0,-99.0,8.862299999999999e-16,3.8330699999999996e-16,-99.0,-99.0,5.67108e-16,2.1472800000000002e-17,-99.0,-99.0,-99.0,-99.0,2.42853e-15,1.05038e-15,-99.0,-99.0,3.11217e+42,1.3460575089875089e+42
