id_fors,SFR_uv,SFR_uv_err,SFR_ha,SFR_ha_err,SFR_sed,SFR_sed_68_l,SFR_sed_68_u,M_star_mean,M_star_median,M_star_68_l,M_star_68_u,Mv,EW_rest_corr,EW_rest_err_corr,metal_O32,metal_O32_err,metal_R23,metal_R23_err,metal_comb,metal_comb_68_u,metal_comb_68_l,comment
309_1_2,1.9870661979507729,0.3546959833866259,2.2902612108843434,0.5159614709877436,0.07898294,0.043895528,0.11429473,9.914691,9.916176,9.888264,9.942233,-18.82138361116285,28.81291608397992,5.647664080328617,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,AGN-candidate
309_1_3,3.194370251327125,0.92385765765563,10.045131022367608,1.5910236346354083,8.051195,6.1884027,9.927194,9.9672,9.953505,9.7936735,10.096957000000002,-17.604881520283318,61.513350074693,9.063699202430683,8.32,0.08,-101.0,-101.0,8.469999999999981,0.0999999999999978,0.0799999999999983,-
309_1_4,0.4308905752129311,0.0595714058574753,0.5911878508491364,0.138122378278889,0.21157776,0.13975143,0.28171474,7.471259599999999,7.4548383,7.2589083,7.621844999999999,-99.0,-5343.050130565268,-1249.0509684828382,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-
309_1_5,21.84822397104377,1.092411198552189,21.20656409930293,1.7711729000908212,24.48079,22.92544,26.099865,10.602702,10.635536,10.488003,10.687706,-20.63375397781173,84.39758054920853,6.769138678596008,8.71,0.03,8.63,0.06,8.709999999999976,0.0199999999999995,0.0099999999999997,Extended_relative_to_slit
309_1_6,9.077217201527274,1.0007763645784422,2.023390375164664,0.5643909362861662,1.3718402,1.0898322,1.6375735,8.379475999999999,8.372688,8.298302,8.446587,-18.287053022764407,-75.2595,-99.0,8.43,0.05,-101.0,-98.0,8.469999999999981,0.0399999999999991,0.0399999999999991,AGN-candidate
309_1_7,-99.0,-99.0,9.051626427113863,0.4834770222598075,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-2530.556471103552,-135.31596223664928,8.63,0.03,8.33,-98.0,8.629999999999978,0.0199999999999995,0.0199999999999995,-
309_1_8,5.566997245942999,0.8352524742104711,8.29450437710987,0.5701120717948682,3.1768339,2.910343,3.4541862,7.5025460000000015,7.4831405,7.445781,7.5273285,-17.929766750304093,631.09606653144,43.09128368588807,7.99,0.07,8.54,0.13,8.119999999999989,0.0799999999999983,0.0699999999999985,-
309_1_9,13.454288801239722,0.7571677680351359,10.200189943961997,0.6880046084178192,5.0223947,4.3301215,5.692203,9.072583,9.070348,8.988453999999997,9.138343,-19.304054045961426,138.47405501182362,9.070125469467245,8.44,0.04,-99.0,-99.0,8.47999999999998,0.0299999999999993,0.0299999999999993,Double-galaxy
309_1_10,27.169808085285425,1.3584904042642714,18.999822462305733,1.5877544031297046,7.834534599999999,6.080441,11.583998,9.659236,9.680161,9.4490385,9.74515,-19.896021192887662,115.51132364678529,9.294407748877958,8.73,0.05,-101.0,-98.0,8.719999999999976,0.0199999999999995,0.0199999999999995,-
309_1_11,46.63413853997901,2.3317069269989497,26.793974511270825,1.0730341279691824,25.0167,23.53583,26.452164,9.981297,9.980978,9.952583,10.008033,-20.45777289379569,135.93827182395006,5.275813072817002,8.58,0.06,8.84,0.07,8.759999999999975,0.0499999999999989,0.0399999999999991,-
